host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,has_reviews,first_review_missing,last_review_missing,days_since_first_review,days_since_last_review,has_availability_miss,superhost_missing,host_tenure_days,last_scraped_collected_days
within an hour,100.0,100.0,1,1,1,1,1,SECOND WARD,42.6446,-73.75885,Private room in townhouse,Private room,3,1.0,1 private bath,1.0,2.0,"[""Wine glasses"", ""Bathtub"", ""Courtyard view"", ""Coffee maker: drip coffee maker, french press, Keurig coffee machine"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Safe"", ""Refrigerator"", ""Dishwasher"", ""Portable fans"", ""Sound system"", ""Shared patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Single level home"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Extra pillows and blankets"", ""Fireplace guards"", ""Wifi"", ""Kitchen"", ""Microwave"", ""Dining table"", ""Self check-in"", ""Cleaning products"", ""Central heating"", ""Baking sheet"", ""Hot water kettle"", ""Long term stays allowed"", ""HDTV with Apple TV, Disney+, Amazon Prime Video, HBO Max, Hulu, Netflix"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""EV charger - level 2"", ""Conditioner"", ""Toaster"", ""Children\u2019s books and toys for ages 2-5 years old and 5-10 years old"", ""BBQ grill"", ""Shampoo"", ""First aid kit"", ""Body soap"", ""Hangers"", ""Crib"", ""Smoke alarm"", ""Free parking on premises"", ""Trash compactor"", ""Room-darkening shades"", ""Outlet covers"", ""Outdoor dining area"", ""Fire extinguisher"", ""Coffee"", ""Central air conditioning"", ""Freezer"", ""Cleaning available during stay"", ""Rice maker"", ""Barbecue utensils"", ""Single oven"", ""Beach essentials"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Iron"", ""Free street parking"", ""Private living room"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Dedicated workspace"", ""Mini fridge"", ""Stainless steel gas stove"", ""Shared backyard \u2013 Fully fenced"", ""Fire pit"", ""Bikes""]",86.0,1,30,1,1,1125,1125,1.0,1125.0,1,16,44,74,339,197,64,9,71,90,255,21930.0,4.97,4.94,4.97,4.99,5.0,4.69,4.95,1,1,6.47,1,0,0,962,55,0,0,3176,49
within a day,100.0,84.0,1,13,13,1,1,THIRTEENTH WARD,42.67177,-73.79464,Private room in home,Private room,1,1.5,1.5 shared baths,1.0,1.0,"[""Wine glasses"", ""Bathtub"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Refrigerator"", ""Coffee maker: drip coffee maker"", ""Dishwasher"", ""BBQ grill: charcoal"", ""Portable fans"", ""Shared patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""Exterior security cameras on property"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Microwave"", ""Kitchen"", ""Free washer \u2013 In building"", ""Wifi"", ""Dining table"", ""Host greets you"", ""Stainless steel electric stove"", ""Cleaning products"", ""Baking sheet"", ""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In unit"", ""Window AC unit"", ""First aid kit"", ""Free parking on premises"", ""Smoke alarm"", ""Stainless steel single oven"", ""Radiant heating"", ""HDTV with Roku"", ""Ceiling fan"", ""Room-darkening shades"", ""Fire extinguisher"", ""Coffee"", ""Freezer"", ""Bidet"", ""Blender"", ""Barbecue utensils"", ""Free street parking"", ""Drying rack for clothing"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced""]",76.0,4,60,4,4,60,60,4.0,60.0,1,21,51,81,81,16,6,0,79,8,48,3648.0,5.0,5.0,5.0,4.94,5.0,4.88,4.88,0,13,0.6,1,0,0,847,186,0,0,4109,50
within an hour,100.0,100.0,1,3,3,1,1,THIRD WARD,42.65817,-73.74935,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Bathtub"", ""Dishes and silverware"", ""Refrigerator"", ""Coffee maker: drip coffee maker"", ""Portable fans"", ""Cooking basics"", ""Essentials"", ""Lockbox"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""42 inch TV with Amazon Prime Video, Hulu, Netflix, Roku"", ""Free washer \u2013 In building"", ""Wifi"", ""Kitchen"", ""Microwave"", ""Self check-in"", ""Cleaning products"", ""Gas stove"", ""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In unit"", ""Toaster"", ""Laundromat nearby"", ""Window AC unit"", ""Shampoo"", ""First aid kit"", ""Body soap"", ""Hangers"", ""Smoke alarm"", ""Free parking on premises"", ""Radiant heating"", ""Fire extinguisher"", ""Coffee"", ""Cleaning available during stay"", ""Freezer"", ""Clothing storage: closet and dresser"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Single oven""]",90.0,2,365,3,4,365,365,3.7,365.0,1,29,59,89,363,26,8,0,86,8,48,4320.0,4.81,4.81,4.77,4.92,4.88,4.65,4.88,0,3,0.9,1,0,0,915,112,0,0,3561,49
within an hour,100.0,0.0,0,2,2,1,1,FOURTEENTH WARD,42.66128,-73.80548,Private room in home,Private room,1,1.0,1 private bath,1.0,1.0,"[""Coffee maker: Keurig coffee machine"", ""Air conditioning"", ""Heating"", ""Clothing storage: closet"", ""Electric stove"", ""Dishes and silverware"", ""Refrigerator"", ""Dishwasher"", ""Washer"", ""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Hot water"", ""Bed linens"", ""Microwave"", ""Kitchen"", ""Wifi"", ""Dining table"", ""Host greets you"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""TV"", ""Toaster"", ""Shampoo"", ""First aid kit"", ""Body soap"", ""Smoke alarm"", ""Hangers"", ""Free parking on premises"", ""Dryer"", ""Fire extinguisher"", ""Coffee"", ""Freezer"", ""Blender"", ""Rice maker""]",56.0,180,1125,180,180,1125,1125,180.0,1125.0,1,0,0,0,187,4,0,0,0,2,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,2,0.16,1,0,0,785,632,0,0,2820,50
within an hour,100.0,99.0,1,17,17,1,1,SIXTH WARD,42.65379,-73.76901,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Air conditioning"", ""Bathtub"", ""Heating"", ""Cooking basics"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Extra pillows and blankets"", ""Wifi"", ""Kitchen"", ""Self check-in"", ""Smart lock"", ""Carbon monoxide alarm"", ""TV"", ""Shampoo"", ""Clothing storage"", ""First aid kit"", ""Smoke alarm"", ""Hangers"", ""Fire extinguisher"", ""Iron"", ""Hair dryer"", ""Dedicated workspace""]",89.0,1,1125,1,1,1125,1125,1.0,1125.0,1,27,57,87,361,20,9,0,84,7,54,4806.0,4.85,4.85,4.75,4.9,5.0,4.95,4.75,0,14,0.67,1,0,0,937,227,0,0,3793,49
within an hour,100.0,100.0,1,1,1,1,1,TENTH WARD,42.6599733,-73.7747433,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""HDTV with Netflix"", ""Coffee maker"", ""Dishes and silverware"", ""General Electric (GE) refrigerator"", ""General Electric (GE) stainless steel single oven"", ""Private backyard \u2013 Fully fenced"", ""Exterior security cameras on property"", ""Microwave"", ""GE stainless steel electric stove"", ""Kitchen"", ""Wifi"", ""Dining table"", ""Self check-in"", ""Smart lock"", ""Central heating"", ""Carbon monoxide alarm"", ""Window AC unit"", ""Smoke alarm"", ""Radiant heating"", ""Fire extinguisher"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace""]",66.0,2,90,2,2,1125,1125,2.0,1125.0,1,15,39,69,248,70,16,0,66,31,96,6336.0,4.77,4.83,4.87,4.76,4.86,4.54,4.6,0,1,2.41,1,0,0,921,99,0,0,937,49
a few days or more,40.0,53.0,0,2,2,1,1,THIRD WARD,42.66246,-73.76576,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,2.0,"[""Wine glasses"", ""Air conditioning"", ""Dishes and silverware"", ""Refrigerator"", ""Washer"", ""Coffee maker: pour-over coffee"", ""Clothing storage: walk-in closet"", ""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Heating - split type ductless system"", ""Wifi"", ""Kitchen"", ""Ethernet connection"", ""Microwave"", ""Self check-in"", ""Smart lock"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""TV"", ""Toaster"", ""Shampoo"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Trash compactor"", ""Ceiling fan"", ""Room-darkening shades"", ""Fire extinguisher"", ""Coffee"", ""Blender"", ""Iron"", ""Free dryer"", ""Hair dryer"", ""Dedicated workspace""]",37.0,1,1125,1,1,1125,1125,1.0,1125.0,1,29,59,89,364,30,9,0,87,12,54,1998.0,4.67,4.73,4.67,4.93,5.0,4.1,4.57,0,2,1.06,1,0,0,902,93,0,0,1288,50
a few days or more,40.0,53.0,0,2,2,1,1,THIRD WARD,42.6628771,-73.76534029999999,Private room in rental unit,Private room,2,1.5,1.5 baths,1.0,1.0,"[""Air conditioning"", ""Washer"", ""Cooking basics"", ""Exterior security cameras on property"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Heating - split type ductless system"", ""Wifi"", ""Kitchen"", ""Microwave"", ""Self check-in"", ""Smart lock"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""TV"", ""First aid kit"", ""Smoke alarm"", ""Hangers"", ""Exercise equipment"", ""Dryer"", ""Fire extinguisher"", ""Gym"", ""Iron"", ""Mini fridge"", ""Dedicated workspace""]",36.0,1,365,1,1,365,365,1.0,365.0,1,0,0,2,277,30,9,0,0,18,54,1944.0,4.83,4.83,4.73,5.0,4.97,4.27,4.77,0,2,1.03,1,0,0,920,169,0,0,1288,50
within an hour,100.0,100.0,0,1250,2692,1,1,THIRD WARD,42.6573,-73.7521,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,3.0,"[""Bathtub"", ""Private entrance"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Washer \u2013\u00a0In building"", ""Refrigerator"", ""Dishwasher"", ""Indoor fireplace"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Exterior security cameras on property"", ""Hot water"", ""Bed linens"", ""Microwave"", ""Kitchen"", ""Wifi"", ""Dining table"", ""Self check-in"", ""Central heating"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""TV"", ""Toaster"", ""Window AC unit"", ""Shampoo"", ""Clothing storage"", ""First aid kit"", ""Hangers"", ""Crib"", ""Smoke alarm"", ""Free parking on premises"", ""Fire extinguisher"", ""Blender"", ""High chair"", ""Iron"", ""Board games"", ""Hair dryer"", ""Dedicated workspace"", ""Pack \u2019n play/Travel crib""]",108.0,2,1125,2,5,1125,1125,2.7,1125.0,1,24,54,84,355,16,4,0,82,10,24,2592.0,4.19,4.31,4.69,4.63,4.5,4.13,4.19,1,6,0.55,1,0,0,918,191,0,0,3171,50
within an hour,100.0,100.0,0,1,2,1,1,TENTH WARD,42.66087,-73.78655,Entire home,Entire home/apt,11,2.0,2 baths,5.0,6.0,"[""Wine glasses"", ""Air conditioning"", ""Children\u2019s books and toys for ages 5-10 years old and 10+ years old"", ""Private entrance"", ""Coffee maker"", ""Dishes and silverware"", ""Refrigerator"", ""Baby bath - always at the listing"", ""Free dryer \u2013 In building"", ""Dishwasher"", ""Outdoor furniture"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Private backyard \u2013 Fully fenced"", ""Exterior security cameras on property"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""50 inch HDTV with HBO Max, Disney+, Apple TV, Hulu, standard cable, Roku, Netflix"", ""Free washer \u2013 In building"", ""Children's playroom"", ""Ethernet connection"", ""Wifi"", ""Kitchen"", ""Microwave"", ""Cleaning products"", ""Dining table"", ""Gas stove"", ""Self check-in"", ""Central heating"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Conditioner"", ""BBQ grill"", ""Shampoo"", ""First aid kit"", ""Body soap"", ""Hangers"", ""Smoke alarm"", ""Free parking on premises"", ""Ceiling fan"", ""Outdoor dining area"", ""Fire extinguisher"", ""Coffee"", ""Clothing storage: closet and dresser"", ""Barbecue utensils"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Single oven"", ""Private patio or balcony""]",252.0,2,90,2,2,1125,1125,2.0,1125.0,1,25,53,83,263,61,17,2,81,20,102,25704.0,4.8,4.85,4.87,4.89,4.9,4.75,4.8,0,1,2.18,1,0,0,889,53,0,0,915,50
within an hour,95.0,94.0,0,18,20,1,1,SEVENTH WARD,42.64787,-73.76707,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,2.0,"[""Coffee maker: Keurig coffee machine"", ""Wine glasses"", ""Air conditioning"", ""Private entrance"", ""Clothing storage: closet"", ""Electric stove"", ""Dishes and silverware"", ""Refrigerator"", ""Dishwasher"", ""Outdoor furniture"", ""Cooking basics"", ""Keypad"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Dining table"", ""Self check-in"", ""Cleaning products"", ""Free driveway parking on premises \u2013 1 space"", ""Central heating"", ""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Pets allowed"", ""TV"", ""Conditioner"", ""Toaster"", ""Laundromat nearby"", ""Shampoo"", ""First aid kit"", ""Body soap"", ""Smoke alarm"", ""Hangers"", ""Stainless steel single oven"", ""Room-darkening shades"", ""Fire extinguisher"", ""Coffee"", ""Cleaning available during stay"", ""Freezer"", ""Rice maker"", ""Drying rack for clothing"", ""Iron"", ""Board games"", ""Hair dryer"", ""Dedicated workspace"", ""Private patio or balcony""]",141.0,1,365,1,2,365,365,1.3,365.0,1,26,55,83,357,56,11,0,80,26,66,9306.0,4.73,4.75,4.68,4.75,4.86,4.55,4.61,0,17,2.0,1,0,0,889,106,0,0,3680,49
within an hour,100.0,88.0,1,8,13,1,1,THIRTEENTH WARD,42.6652959,-73.7868778,Entire rental unit,Entire home/apt,5,2.0,2 baths,2.0,2.0,"[""Movie theater"", ""Wine glasses"", ""Shared backyard \u2013 Not fully fenced"", ""Private entrance"", ""Dishes and silverware"", ""Outdoor kitchen"", ""Refrigerator"", ""Coffee maker: drip coffee maker"", ""Dishwasher"", ""Shared patio or balcony"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Exterior security cameras on property"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Extra pillows and blankets"", ""Wifi"", ""Kitchen"", ""Ethernet connection"", ""Microwave"", ""Dining table"", ""Self check-in"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Central heating"", ""Baking sheet"", ""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Pets allowed"", ""TV"", ""Free dryer \u2013 In unit"", ""Conditioner"", ""Toaster"", ""Laundromat nearby"", ""Shampoo"", ""First aid kit"", ""Body soap"", ""Hangers"", ""Smoke alarm"", ""Free parking on premises"", ""Stainless steel single oven"", ""Room-darkening shades"", ""Fire extinguisher"", ""Coffee"", ""Central air conditioning"", ""Freezer"", ""Blender"", ""Barbecue utensils"", ""Free street parking"", ""Iron"", ""BBQ grill: gas"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Stainless steel gas stove""]",178.0,1,730,1,1,730,730,1.0,730.0,1,30,60,90,269,22,7,0,87,11,42,7476.0,5.0,5.0,5.0,5.0,5.0,4.91,4.95,0,8,0.78,1,0,0,897,112,0,0,4745,49
within an hour,100.0,100.0,1,17,17,1,1,TENTH WARD,42.66217,-73.78299,Entire home,Entire home/apt,8,1.0,1 bath,4.0,4.0,"[""Wine glasses"", ""Samsung stainless steel gas stove"", ""Shared backyard \u2013 Not fully fenced"", ""Private entrance"", ""Dishes and silverware"", ""Refrigerator"", ""Coffee maker: drip coffee maker"", ""Dishwasher"", ""50 inch HDTV with Roku"", ""Portable fans"", ""Outdoor furniture"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Fireplace guards"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Extra pillows and blankets"", ""Wifi"", ""Kitchen"", ""Ethernet connection"", ""Microwave"", ""Dining table"", ""Self check-in"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Indoor fireplace: electric"", ""Baking sheet"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In unit"", ""Conditioner"", ""Toaster"", ""Laundromat nearby"", ""Window AC unit"", ""Shampoo"", ""First aid kit"", ""Body soap"", ""Hangers"", ""Smoke alarm"", ""Stainless steel single oven"", ""Radiant heating"", ""Room-darkening shades"", ""Outdoor dining area"", ""Fire extinguisher"", ""Coffee"", ""Freezer"", ""Clothing storage: closet and dresser"", ""Barbecue utensils"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Private patio or balcony""]",193.0,1,365,1,1,1125,1125,1.0,1125.0,1,23,52,82,356,84,36,2,80,41,216,41688.0,4.81,4.9,4.9,4.94,4.94,4.6,4.82,0,17,3.09,1,0,0,864,71,0,0,1993,50
within an hour,100.0,94.0,0,1,2,1,1,FOURTEENTH WARD,42.65872,-73.79555,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,3.0,"[""Courtyard view"", ""Electric stove"", ""Refrigerator"", ""Coffee maker: drip coffee maker"", ""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Microwave"", ""Extra pillows and blankets"", ""Host greets you"", ""Kitchen"", ""Free washer \u2013 In building"", ""Wifi"", ""Dining table"", ""Cleaning products"", ""Free driveway parking on premises \u2013 1 space"", ""Central heating"", ""65 inch TV with Chromecast, Netflix, Roku"", ""Shared BBQ grill: charcoal"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""Window AC unit"", ""Noise decibel monitors on property"", ""First aid kit"", ""Smoke alarm"", ""Hangers"", ""Clothing storage: walk-in closet, closet, wardrobe, and dresser"", ""Room-darkening shades"", ""Outdoor dining area"", ""Fire extinguisher"", ""Coffee"", ""Central air conditioning"", ""Freezer"", ""Blender"", ""Barbecue utensils"", ""Free street parking"", ""GE oven"", ""Iron"", ""Dryer \u2013\u00a0In unit"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Shared backyard \u2013 Fully fenced"", ""Bikes""]",115.0,3,1125,3,3,1125,1125,3.0,1125.0,1,0,0,0,268,6,2,0,0,0,12,1380.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0.22,1,0,0,871,116,0,0,2301,50
within an hour,100.0,87.0,1,2,3,1,1,TENTH WARD,42.66261,-73.79158,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Bathtub"", ""Dishes and silverware"", ""Refrigerator"", ""Free dryer \u2013 In building"", ""Dishwasher"", ""Portable fans"", ""HDTV with Hulu, Netflix, Roku"", ""Shared patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""Essentials"", ""Housekeeping available 24 hours, every day"", ""Exterior security cameras on property"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Free washer \u2013 In building"", ""Wifi"", ""Microwave"", ""Dining table"", ""Host greets you"", ""Cleaning products"", ""Gas stove"", ""Baking sheet"", ""Hot water kettle"", ""Shared BBQ grill: charcoal"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Toaster"", ""Window AC unit"", ""Noise decibel monitors on property"", ""First aid kit"", ""Hangers"", ""Smoke alarm"", ""Indoor fireplace: gas"", ""IHome Bluetooth sound system"", ""Radiant heating"", ""Room-darkening shades"", ""Ceiling fan"", ""Outdoor dining area"", ""Fire extinguisher"", ""Coffee"", ""Freezer"", ""Blender"", ""Clothing storage: closet and dresser"", ""Rice maker"", ""Barbecue utensils"", ""Free street parking"", ""Drying rack for clothing"", ""Coffee maker: drip coffee maker, french press, pour-over coffee"", ""Iron"", ""Board games"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Single oven"", ""Shared backyard \u2013 Fully fenced"", ""Fire pit""]",96.0,1,10,1,1,10,10,1.0,10.0,1,9,39,69,69,17,7,0,67,3,42,4032.0,4.94,4.94,4.94,4.94,4.94,4.88,4.94,0,2,0.62,1,0,0,870,113,0,0,4589,50
unknown,100.0,0.0,0,1,2,1,0,FIFTH WARD,42.67292,-73.7776,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,"[""TV"", ""Kitchen"", ""Wifi"", ""Smoke alarm"", ""Free parking on premises"", ""Washer""]",93.0,1,365,1,1,365,365,1.0,365.0,1,29,59,89,364,0,0,0,87,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,1,1,4164,4164,0,0,1003,50
within a day,100.0,30.0,0,4,6,1,1,THIRD WARD,42.6586,-73.75743,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Coffee maker: Keurig coffee machine"", ""Air conditioning"", ""Heating"", ""Electric stove"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Housekeeping - available at extra cost"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Hot water"", ""Microwave"", ""Kitchen"", ""Wifi"", ""Self check-in"", ""Cleaning products"", ""Baking sheet"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Pets allowed"", ""TV"", ""Toaster"", ""Laundromat nearby"", ""First aid kit"", ""Smoke alarm"", ""Hangers"", ""Fire extinguisher"", ""Coffee"", ""Freezer"", ""Clothing storage: closet and dresser"", ""Free street parking"", ""Iron"", ""Dedicated workspace""]",72.0,14,365,7,7,365,365,7.0,365.0,1,28,58,88,268,3,1,0,86,1,28,2016.0,4.67,3.67,4.67,4.67,5.0,3.0,4.33,0,3,0.11,1,0,0,838,338,0,0,885,50
within an hour,100.0,100.0,1,3,3,1,0,THIRTEENTH WARD,42.67066,-73.79571,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Coffee maker: Keurig coffee machine"", ""Wine glasses"", ""42 inch HDTV"", ""Private entrance"", ""Shared backyard \u2013 Not fully fenced"", ""Dishes and silverware"", ""Safe"", ""Refrigerator"", ""Dishwasher"", ""Portable fans"", ""Outdoor furniture"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Exterior security cameras on property"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Dining table"", ""Self check-in"", ""Cleaning products"", ""Gas stove"", ""Baking sheet"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Conditioner"", ""Toaster"", ""Laundromat nearby"", ""Window AC unit"", ""Shampoo"", ""First aid kit"", ""Body soap"", ""Hangers"", ""Smoke alarm"", ""Stainless steel single oven"", ""Radiant heating"", ""Room-darkening shades"", ""Fire extinguisher"", ""Coffee"", ""Freezer"", ""Blender"", ""Clothing storage: closet and dresser"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Private patio or balcony""]",63.0,1,365,1,4,1125,1125,3.0,1125.0,1,15,38,55,212,82,35,3,53,42,210,13230.0,4.8,4.89,4.79,4.95,4.94,4.84,4.82,1,2,3.08,1,0,0,849,57,0,0,1406,50
within an hour,97.0,96.0,1,23,38,1,1,THIRTEENTH WARD,42.67224,-73.79301,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,0.0,"[""Coffee maker: Keurig coffee machine"", ""Wine glasses"", ""Air conditioning"", ""Bathtub"", ""Heating"", ""Dishes and silverware"", ""Refrigerator"", ""Free residential garage on premises"", ""Dishwasher"", ""Cooking basics"", ""Essentials"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Self check-in"", ""Smart lock"", ""Cleaning products"", ""Baking sheet"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""TV"", ""Conditioner"", ""Shampoo"", ""First aid kit"", ""Body soap"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Ceiling fan"", ""Fire extinguisher"", ""Coffee"", ""Cleaning available during stay"", ""Clothing storage: closet and dresser"", ""Iron"", ""Hair dryer"", ""Luggage dropoff allowed""]",116.0,1,365,1,1,365,365,1.0,365.0,1,27,54,54,54,47,16,0,54,26,96,11136.0,4.62,4.77,4.83,4.72,4.77,4.6,4.7,0,21,1.75,1,0,0,855,113,0,0,2523,50
